cluster	n_cells	adjacent_fraction	cancer_fraction	tumor_score	IM_score	PMC_score	GMC_score	fibroblast_score	EC_score	enteroendocrine_score	predicted_lineage	EPCAM	CDH17	COL3A1	PDGFRB	TFF3	CDX1	CDX2	GKN1	GKN2	MUC5AC	MUC6	TFF2	MMP2	PDGFRA	PLVAP	KDR	PTPRB	CHGA	GAST	PROX1	is_tumor_compartment
20	79	0.556962025316456	0.443037974683544	2.74350122882539	165.850476536161	0.96599762453455	14.2861167112863	0.0105640858092531	0.0319668990647793	0.114904362761853	IM	10.3365422134943	0.637462701807285	0	0	496.105570399481	0.881452387552748	0.564406821449031	0.136568295464039	0.223623254634279	2.53780132350533	0.398510437722518	28.17372298485	0	0	0.0344160626647669	0	0.0614846345295709	0.0427787355461347	0.243894425386952	0.0580399273524733	FALSE
15	217	0.571428571428571	0.428571428571429	1.6586577304417	0.147209778956147	0.459060379116956	1.49762033072387	0.0409093169682541	0.0374234912369912	8.1014639426429	enteroendocrine	6.59940295642044	0.0257263263136298	0.00950163903273315	0	0.41024400721103	0.0124888047511231	0.0188965249062869	0.424011245846398	0.608332435645815	0.344837455858655	0.670517673347335	2.32472298810041	0	0	0.0187930985625166	0.00696011921292188	0.0865172559355351	20.7029697594189	2.18773773631815	1.41368433219163	FALSE
12	403	0.598014888337469	0.401985111662531	0.945052470137754	1.04146284604013	12.8615384098088	28.2741874103192	0.352108821782937	0.0453797264056844	0.264384288791139	GMC	2.41078277122992	0.0101844089185457	1.30716323595597	0.0520794644465758	3.09739768086965	0.00484079121764294	0.0221500660330837	18.2359013725545	13.8029223595211	6.545791497351	9.65943820404694	46.8889366165915	0.360185052720478	0.42531113366488	0.113155575756699	0.0137315916103779	0.00925201184997678	0.274297971977452	0.488522555586038	0.0303323388099254	FALSE
5	901	0.613762486126526	0.386237513873474	0.850437535304014	0.272221887296922	70.1038989103317	55.3357297189772	0.0142842299203326	0.0131083292162838	0.851585857259059	PMC	3.37953361060947	0.016632114221394	0.00558441638519101	0	0.769619308238608	0.00623699560830146	0.0408093580438569	98.7801893416959	80.3027853857093	31.2287220035897	0.263446987897845	110.408012450056	0.00185660407064156	0.0134381846439045	0.0352358086608421	0.00288409982033342	0.00120507916767592	0.0821340314426885	2.46617182634839	0.00645171398609418	FALSE
17	123	0.642276422764228	0.357723577235772	10.1204790455448	0.00653175970178598	0.881965729916537	0.92934066177223	11.3353761562686	0.0195945557515698	0.0371940489931327	fibroblast	0.0555071571148986	0	39.8454360852104	0.580972939854119	0.0195952791053579	0	0	1.45945134997515	0.741295541129416	0.445150298645043	0.0776503134769048	1.78103101006755	5.73258485816818	0.722286647135685	0.0221588479171791	0.0197188486558647	0.0169059706816656	0.0725386081533635	0.033901172411858	0.00514236641417648	FALSE
16	169	0.656804733727811	0.343195266272189	2.68269890382116	0.935750394362865	0.185990301368895	1.07977633215603	0.0212794164856854	0.00480703427046184	204.480972392066	enteroendocrine	10.6359855229371	0.0557013034293573	0.0391087889181336	0	2.42801184373087	0.0259236268430068	0.353315712514721	0.143864423280308	0.194499158468548	0.219607322357828	0.300727914828293	1.85882474948377	0	0	0.0144211028113855	0	0	593.77430449817	18.1862154991343	1.48239717889343	FALSE
1	1630	0.712883435582822	0.287116564417178	0.986090180445869	0.663812774914835	9.03673057381432	26.6544229592533	0.0131878898262422	0.0103838186034306	0.222534529466669	GMC	3.927960814463	0.00696433116899565	0.00943557615147827	0	1.95318806519097	0.00687745911342644	0.0313728004401049	3.93581841279818	7.26176152313028	15.9126117855145	0.522848223104959	52.7859976954017	0.00519345592971299	0.00689031800299229	0.0207347422721198	0.0055215531293319	0.00489516040884006	0.0304651207028647	0.637138467697143	0	FALSE
9	518	0.764478764478765	0.235521235521236	0.910633998164019	0.0219342921564573	0.346384112928779	18.4539920913068	0.0702019319496259	0.00558069670991517	0.0965225067164044	GMC	3.59995183179822	0.00624391315738143	0.0331546009504727	0.00318564675000319	0.0624355261632462	0	0.00336735030612582	0.265022258858635	0.187020131097097	0.587109948830605	31.5973305147053	5.31065366790833	0	0.00516187206263169	0.00412588572451791	0.00285155381167198	0.00976465059355563	0.15687476302977	0.130553222673581	0.00213953444586272	FALSE
0	1880	0.774468085106383	0.225531914893617	1.2880874427738	0.787736983406702	1.26027053615363	32.3795283951401	0.0399796102169746	0.0135115480691358	0.432163483271319	GMC	5.14678635331546	0.00180496159604706	0.00319011032024337	0.000568345863465136	2.34607565989293	0	0.0171352903271766	0.142543235879125	0.225572300696284	3.41269607188549	14.8932526858199	49.8658041044603	0.0050232582598616	0.00945236863678906	0.0185448316514484	0	0.0219898125559589	0.0994022504623576	1.19645345604179	0.000634743309805515	FALSE
2	1390	0.803597122302158	0.196402877697842	1.24920816977139	0.690139751264007	4.58623957290717	23.6028664435448	0.0432270756806466	0.0181100675877646	0.619977546304788	GMC	4.94701305757566	0.00635356380787629	0.0406997352012679	0.00276632250074283	2.03193678739469	0.00838567304155566	0.0300967933557723	2.88240452309674	3.53257578803861	7.34373840758617	4.62266420774709	42.5830686793426	0.00941541583926835	0.0197764064873298	0.0341731918868324	0.00938748422304243	0.010769526653419	0.0600557442162223	1.79543351119398	0.00444338350416345	FALSE
18	119	0.899159663865546	0.100840336134454	1.12342231977584	0.707588510881364	0.560808478291461	12.2546173553038	0.0300094025789316	0.00641156562452075	1066.39325689202	enteroendocrine	4.43909805745014	0.0545912216532321	0	0	2.08007737324149	0	0.0426881594026061	0.681754198436268	0.333462734783206	0.667208501654908	9.32439234621259	15.184842364395	0.0795713225043313	0	0.0116524886767402	0	0.00758220819682199	22.8528225660927	3175.92125348934	0.405694620635613	FALSE
